Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
1302,1534,(MT)SINGLETON,NINGHAN,512065.6,6739831,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,532000,9600,161000,15000,62000,2800,70000,91000,39800,1500,1500,16000,0.01,52,219,70,80,8,166,291,24,62,72,BASALT
1303,1535,(MT)SINGLETON,NINGHAN,511607.8,6739893,50,,-9999,-9999,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,513000,9600,147000,20000,82000,1800,81000,103000,21500,900,2300,18000,2000,80,160,120,98,4,150,274,20,59,64,DOLERITE
1304,1536,(MT)SINGLETON,NINGHAN,509506.9,6739618,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,527000,4400,131000,18000,77000,1600,92000,117000,17600,500,2000,14000,0.01,80,505,49,100,2,128,228,9,58,19,BASALT
1305,1537,(MT)SINGLETON,NINGHAN,508591.2,6739618,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,527000,10500,121000,25000,89000,1900,99000,83000,33100,800,2100,14000,0.01,92,404,42,135,13,115,231,26,60,62,BASALT
1307,1600,(MT)SINGLETON,NINGHAN,525269.4,6767170,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,515000,5400,136000,21000,80000,1600,90000,111000,17300,1100,500,17000,0.01,90,666,28,189,6,90,254,10,59,34,BASALT
1308,1022,SIR SAMUEL,SIR SAMUEL,258691.3,6939813,51,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,5.00E+05,11000,144000,21000,101000,2300,75000,104000,26000,1400,1800,17000,0.01,66,250,13,123,1,117,310,33,149,66,BASALT
846,1548,MARDA,JACKSON,717576.1,6656235,50,,-9999,-9999,,,Basalt,JAH,JA Hallberg,CSIR,521000,7900,140000,38000,89000,1800,61000,89000,16300,1100,1200,26000,9000,51,19,119,155,2,123,228,22,75,49,BASALT
851,1602,MARDA,JACKSON,736180.1,6649102,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,EZ,570000,5600,119000,17000,59000,1700,50000,85000,17100,11900,2000,61000,0.01,64,1029,68,178,44,111,201,9,55,33,BASALT
852,1603,MARDA,JACKSON,735426,6646377,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,EZ,503000,5400,150000,22000,82000,1800,82000,115000,16600,800,600,24000,0.01,48,365,89,100,1,54,205,14,108,32,BASALT
853,1604,MARDA,JACKSON,736111.5,6647163,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,EZ,595000,5700,132000,24000,51000,1400,51000,92000,24300,900,1000,30000,0.01,61,76,84,55,3,125,207,15,110,28,BASALT
858,1609,MARDA,JACKSON,734446.6,6649324,50,,-9999,-9999,F,fresh,Peridotite,JAH,JA Hallberg,EZ,433000,2900,56000,39000,66000,1700,289000,43000,1600,1600,100,69000,0.01,99,3409,47,1080,6,42,96,7,45,24,PERIDOTITE
859,1610,MARDA,JACKSON,734985.2,6649498,50,,-9999,-9999,SL,silicified,High-Mg Basalt,JAH,JA Hallberg,EZ,570000,5800,118000,18000,61000,1800,74000,108000,6500,2300,800,32000,3000,63,1072,73,234,4,50,210,9,58,4,HIGH MG BASALT
860,1611,MARDA,JACKSON,734446.6,6649324,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,EZ,543000,7000,129000,24000,61000,1500,83000,102000,30700,1800,800,18000,0.01,41,403,67,135,5,152,213,38,30,51,HIGH MG BASALT
861,1612,MARDA,JACKSON,748986.3,6654765,50,,-9999,-9999,SL,silicified,High-Mg Basalt,JAH,JA Hallberg,CSIR,503000,6300,128000,27000,67000,2400,73000,165000,14200,1300,700,12000,0.01,154,1342,8,204,3,97,263,20,51,42,HIGH MG BASALT
867,1618,MARDA,JACKSON,705184.8,6660324,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,503000,6800,151000,27000,81000,1700,77000,99000,16800,2700,900,32000,2000,80,288,103,170,7,85,262,24,82,43,BASALT
872,1623,MARDA,JACKSON,736829.1,6646962,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,524000,5900,138000,27000,76000,1500,72000,102000,19600,1200,800,24000,9000,70,58,84,90,4,98,269,15,73,36,BASALT
874,1625,MARDA,JACKSON,736893.2,6646222,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,522000,5200,141000,21000,68000,1300,82000,108000,20600,1700,600,28000,3000,62,287,61,98,8,63,238,17,58,32,BASALT
875,1626,MARDA,JACKSON,736958,6645512,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,511000,6600,142000,21000,85000,1800,79000,110000,16000,1500,1000,21000,0.01,70,301,98,118,2,61,256,16,79,45,BASALT
876,1627,MARDA,JACKSON,736954,6645327,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,511000,5400,146000,17000,84000,1800,84000,115000,16800,800,600,11000,0.01,78,391,98,154,2,68,246,17,74,31,BASALT
961,1495,NINGHAN,NINGHAN,541391,6783219,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,495000,9100,142000,20000,101000,2100,76000,121000,15500,2100,1000,16000,0.01,73,235,10,144,9,134,321,15,72,49,BASALT
963,1503,NINGHAN,NINGHAN,501838.2,6782124,50,,-9999,-9999,CTS,chlorite tremolite schist,High-Mg Basalt,JAH,JA Hallberg,CSIR,520000,4000,90000,14000,87000,2000,161000,62000,13700,1100,500,39000,0.01,76,2051,20,300,7,79,167,6,58,28,HIGH MG BASALT
968,1513,NINGHAN,NINGHAN,515733.3,6782452,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,CSIR,451000,5100,80000,22000,90000,2000,213000,76000,5600,1200,1000,56000,0.01,83,2610,32,890,6,29,181,8,61,32,HIGH MG BASALT
975,1592,NINGHAN,NINGHAN,500513.4,6776461,50,,-9999,-9999,P,porphyritic,High-Mg Basalt,JAH,JA Hallberg,CSIR,494000,4600,132000,20000,84000,1600,116000,116000,7500,500,500,17000,0.01,76,813,130,184,3,62,266,12,59,24,HIGH MG BASALT
976,1593,NINGHAN,NINGHAN,500513.4,6776646,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,538000,4500,125000,21000,70000,1600,88000,105000,22400,700,200,13000,2000,68,579,20,143,3,68,249,38,60,25,BASALT
977,1594,NINGHAN,NINGHAN,500405.3,6777015,50,,-9999,-9999,R,recrystallized,High-Mg Basalt,JAH,JA Hallberg,CSIR,495000,5300,139000,22000,93000,2100,111000,102000,7500,500,300,14000,0.01,70,635,12,121,2,99,226,14,70,33,HIGH MG BASALT
980,1597,NINGHAN,NINGHAN,501838.1,6781416,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,519000,7900,138000,36000,88000,1500,78000,91000,26500,2200,1000,15000,0.01,73,102,46,100,10,165,271,21,101,64,BASALT
981,1598,NINGHAN,NINGHAN,501838.1,6781416,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,CSIR,464000,6300,86000,25000,106000,2200,168000,89000,3300,1800,600,49000,0.01,80,1097,60,255,10,10,233,10,102,53,HIGH MG BASALT
1733,1819,YALGOO,YALGOO,481188.5,6847136,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,5.00E+05,4000,124000,22000,82000,2800,106000,95000,14000,6600,300,36000,1000,100,1009,30,270,20,72,196,14,80,20,HIGH MG BASALT
1734,1820,YALGOO,YALGOO,481351.3,6847321,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,502000,5500,141000,29000,83000,2900,86000,91000,22600,4200,400,29000,7000,90,482,60,182,14,88,229,18,90,50,HIGH MG BASALT
1736,1822,YALGOO,YALGOO,494132.4,6838748,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,496000,10200,143000,53000,77000,2100,66000,121000,16700,1300,800,12000,2000,125,206,148,102,5,128,327,26,122,57,BASALT
1738,1824,YALGOO,YALGOO,484383.4,6856834,50,,-9999,-9999,,,Dolerite,JAH,JA Hallberg,CSIR,487000,12200,140000,29000,92000,2200,71000,122000,15400,5200,1000,22000,2000,88,204,125,82,55,146,322,29,118,74,DOLERITE
1740,1826,YALGOO,YALGOO,471292.6,6881058,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,486000,9100,121000,33000,107000,2200,85000,129000,11500,1000,900,16000,3000,94,459,40,160,2,300,283,21,78,62,HIGH MG BASALT
1741,1827,YALGOO,YALGOO,470665.6,6881057,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,537000,5400,128000,15000,75000,1800,1.00E+05,93000,17500,2500,700,16000,0.01,90,583,80,180,8,110,192,22,58,74,HIGH MG BASALT
1742,1828,YALGOO,YALGOO,470311.2,6881056,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,574000,6800,140000,19000,59000,1500,69000,98000,23700,1300,900,11000,0.01,98,355,38,140,3,132,203,24,68,111,HIGH MG BASALT
1743,1829,YALGOO,YALGOO,469847.7,6881055,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,558000,7000,143000,16000,67000,1600,63000,113000,13200,2100,800,14000,1000,100,257,20,100,23,128,221,20,58,102,BASALT
1745,1831,YALGOO,YALGOO,467294.4,6867754,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,539000,6200,123000,20000,69000,1600,102000,84000,21000,3500,900,25000,0.01,80,803,58,204,18,129,195,28,50,110,HIGH MG BASALT
1746,1832,YALGOO,YALGOO,467568.4,6867140,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,556000,5800,116000,19000,64000,1500,99000,82000,18900,8300,800,26000,0.01,82,779,58,182,42,130,187,17,45,95,HIGH MG BASALT
1747,1833,YALGOO,YALGOO,467869.2,6866679,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,548000,5800,115000,18000,73000,1800,111000,76000,18900,3600,700,27000,2000,75,966,79,228,23,122,180,17,62,88,HIGH MG BASALT
1750,1836,YALGOO,YALGOO,473537.6,6864631,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,555000,6500,131000,23000,61000,1500,76000,92000,18300,8200,900,23000,0.01,72,488,132,170,30,145,203,24,72,104,HIGH MG BASALT
1751,1837,YALGOO,YALGOO,473183.7,6864630,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,CSIR,554000,6700,135000,18000,65000,1500,77000,75000,29700,7200,800,24000,0.01,88,439,130,160,29,106,199,28,80,112,HIGH MG BASALT
1752,1838,YALGOO,YALGOO,472720.7,6864691,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,CSIR,570000,6300,130000,17000,58000,1500,74000,78000,29700,8600,700,18000,2000,71,426,95,138,29,111,186,23,68,101,HIGH MG BASALT
1753,1839,YALGOO,YALGOO,446250.3,6872263,50,,-9999,-9999,BR,biotite; recrystallized,High-Mg Basalt,JAH,JA Hallberg,CSIR,631000,6800,122000,22000,57000,1800,37000,70000,30200,6300,900,8000,2000,92,31,25,80,25,226,165,26,75,147,HIGH MG BASALT
1754,1840,YALGOO,YALGOO,445707.5,6871799,50,,-9999,-9999,R,recrystallized,High-Mg Basalt,JAH,JA Hallberg,CSIR,539000,6200,148000,34000,50000,1600,72000,1.00E+05,24500,3200,700,16000,0.01,90,256,10,125,15,145,206,20,62,89,HIGH MG BASALT
1755,1841,YALGOO,YALGOO,447874.1,6874732,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,545000,8200,145000,27000,75000,1600,52000,92000,27000,7700,1100,16000,0.01,81,84,22,68,30,203,236,31,90,171,BASALT
1756,1842,YALGOO,YALGOO,447056.6,6874728,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,540000,8300,148000,34000,67000,1600,51000,102000,25600,3600,1100,13000,0.01,82,93,68,70,10,225,221,27,88,167,BASALT
1757,1843,YALGOO,YALGOO,446131.4,6874447,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,554000,8000,139000,28000,72000,1600,51000,101000,24800,2600,1000,10000,0.01,95,98,41,70,5,270,219,26,90,161,BASALT
1759,1845,YALGOO,YALGOO,441465.7,6831895,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,548000,10100,141000,24000,74000,1800,53000,89000,26400,8500,1500,15000,0.01,88,166,68,92,47,214,246,36,98,173,BASALT
1760,1846,YALGOO,YALGOO,433525.5,6829267,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,526000,5400,124000,25000,86000,1700,101000,88000,11900,900,500,27000,0.01,70,844,49,191,1,111,291,24,82,37,HIGH MG BASALT
1763,1849,YALGOO,YALGOO,428708.8,6826776,50,,-9999,-9999,R,recrystallized,High-Mg Basalt,JAH,JA Hallberg,CSIR,516000,9600,111000,32000,84000,2000,95000,123000,6500,2400,800,19000,1000,90,675,200,155,24,353,310,21,60,49,HIGH MG BASALT
1765,1851,YALGOO,YALGOO,431161.7,6829622,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,483000,16200,139000,43000,103000,2400,57000,113000,21300,2400,1800,13000,1000,90,115,90,92,3,107,409,43,108,124,BASALT
1766,1852,YALGOO,YALGOO,432603.1,6829169,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,489000,28700,130000,52000,101000,2200,42000,109000,21600,2900,4700,10000,4000,80,75,52,61,5,153,509,67,110,320,BASALT
1192,1510,PERENJORI,PERENJORI,484265.5,6763709,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,503000,5500,124000,14000,85000,2000,103000,139000,6600,1300,800,13000,3000,50,808,40,125,4,122,220,14,40,36,HIGH MG BASALT
1193,1511,PERENJORI,PERENJORI,485675.2,6758694,50,,-9999,-9999,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,514000,3300,118000,10000,62000,1700,128000,139000,6900,600,2000,17000,0.01,41,1272,10,70,7,56,198,8,28,18,DOLERITE
1194,1575,PERENJORI,PERENJORI,487670.1,6759989,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,524000,9400,142000,20000,61000,1200,83000,103000,35700,2000,600,13000,0.01,76,345,28,130,4,138,242,35,28,77,BASALT
1195,1576,PERENJORI,PERENJORI,485154.9,6764634,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,505000,8900,147000,26000,102000,1900,71000,103000,15300,900,1000,15000,0.01,90,175,66,128,2,88,298,17,68,66,BASALT
1197,1578,PERENJORI,PERENJORI,487527.6,6766945,50,,-9999,-9999,PIN,,High-Mg Basalt,JAH,JA Hallberg,CSIR,481000,4600,111000,17000,95000,2200,146000,106000,8200,1300,700,31000,0.01,80,1520,41,330,7,38,229,9,68,30,HIGH MG BASALT
1201,1582,PERENJORI,PERENJORI,487685.5,6770700,50,,-9999,-9999,A,amygdaloidal,High-Mg Basalt,JAH,JA Hallberg,CSIR,548000,8600,95000,25000,94000,1800,82000,99000,14600,1100,500,23000,0.01,63,262,13,97,2,191,274,12,89,78,HIGH MG BASALT
1206,1587,PERENJORI,PERENJORI,481904.7,6771738,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,560000,7400,160000,14000,61000,1400,52000,109000,13600,1000,900,12000,0.01,72,237,38,130,4,150,245,21,68,108,BASALT
1208,1640,POLELLE,GLENGARRY,654091.6,7045907,50,,-9999,-9999,F,fresh,High-Mg Basalt,JAH,JA Hallberg,CSIR,501000,4600,110000,32000,68000,1800,140000,96000,7800,1000,1800,38000,0.01,78,1361,40,325,6,78,249,16,52,32,HIGH MG BASALT
1209,1641,POLELLE,GLENGARRY,652082.8,7048978,50,,-9999,-9999,F,fresh,High-Mg Basalt,JAH,JA Hallberg,CSIR,530000,4800,117000,22000,75000,1700,120000,85000,14600,1500,1000,34000,0.01,67,1163,50,260,6,48,250,20,49,40,HIGH MG BASALT
1213,1647,POLELLE,GLENGARRY,543056.3,7015665,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,490000,6700,97000,22000,83000,1800,150000,83000,15200,900,900,41000,0.01,68,2093,22,540,5,42,244,17,62,59,HIGH MG BASALT
1214,1648,POLELLE,GLENGARRY,540982.2,7013641,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,465000,5100,88000,24000,88000,2100,188000,74000,5100,300,1200,55000,3000,75,2028,50,600,4,12,207,15,60,38,HIGH MG BASALT
1215,1649,POLELLE,GLENGARRY,540982.2,7013641,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,512000,6400,110000,25000,81000,1600,115000,85000,17200,400,1100,39000,0.01,61,878,75,198,4,95,268,18,42,54,HIGH MG BASALT
1216,1650,POLELLE,GLENGARRY,547034.2,7017927,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,450000,5700,93000,23000,85000,1700,167000,84000,1000,200,600,78000,0.01,85,2270,88,700,4,11,215,16,60,47,HIGH MG BASALT
1217,1651,POLELLE,GLENGARRY,546649.9,7018390,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,5.00E+05,4600,112000,27000,75000,1800,146000,73000,6500,11200,1200,38000,0.01,59,1234,43,280,58,36,232,15,40,24,HIGH MG BASALT
1218,1652,POLELLE,GLENGARRY,544087.9,7018984,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,513000,6200,120000,32000,76000,1800,105000,83000,19200,6200,1200,34000,0.01,65,760,90,130,30,178,282,20,48,25,HIGH MG BASALT
1220,1659,POLELLE,GLENGARRY,549562.5,7036870,50,,-9999,-9999,U,uralitized,Basalt,,,SHEL,539000,13000,143000,19000,74000,2000,57000,87000,27300,4500,1300,26000,3000,70,74,190,88,17,155,360,29,77,89,BASALT
1221,1660,POLELLE,GLENGARRY,649651.7,7032788,50,,-9999,-9999,,,High-Mg Basalt,,,SHEL,550000,3500,57000,21000,66000,1500,164000,76000,700,300,300,69000,0.01,80,2427,48,990,2,13,117,6,72,29,HIGH MG BASALT
1223,1662,POLELLE,GLENGARRY,652697,7033429,50,,-9999,-9999,CU,carbonatized; uralitized,Basalt,,,SHEL,477000,13000,137000,30000,98000,2000,49000,93000,21500,4200,1300,34000,44000,60,70,162,99,14,70,361,27,97,97,BASALT
1243,1693,POLELLE,GLENGARRY,654631.5,7053933,50,,-9999,-9999,,,High-Mg Basalt,JAH,JA Hallberg,CSIR,480000,6100,99000,21000,94000,1900,157000,79000,9700,1200,600,50000,2000,92,1535,71,450,2,46,233,27,125,54,HIGH MG BASALT
1246,1883,POLELLE,GLENGARRY,650789.2,7030928,50,,-9999,-9999,F,fresh,Basalt,JAH,JA Hallberg,CSIR,524000,14200,135000,23000,87000,2600,61000,74000,30500,2400,2200,41000,2000,58,76,170,78,8,81,381,27,80,89,BASALT
1251,1076,SANDSTONE,SANDSTONE,785913,6925815,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,525000,9000,159000,24000,85000,3000,48000,121000,16400,800,1100,11000,0.01,40,285,22,161,3,90,326,26,81,53,BASALT
1254,1079,SANDSTONE,SANDSTONE,784821.7,6926025,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,5.00E+05,9100,161000,24000,80000,2200,56000,129000,19300,1300,700,16000,0.01,49,267,42,182,2,99,254,19,85,47,BASALT
1255,1080,SANDSTONE,SANDSTONE,784547.7,6926032,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,483000,8300,148000,25000,94000,2500,77000,116000,24500,2400,1000,15000,0.01,70,288,108,172,1,87,312,26,110,42,BASALT
1260,1085,SANDSTONE,SANDSTONE,785449.5,6925918,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,520000,11700,150000,26000,86000,3100,53000,111000,15600,1200,900,17000,2000,68,228,40,215,3,120,336,29,94,59,BASALT
1269,1094,SANDSTONE,SANDSTONE,788097,6925455,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,527000,5100,124000,20000,82000,1800,114000,96000,14800,1300,300,17000,0.01,53,606,79,128,4,53,288,22,76,22,BASALT
1270,1095,SANDSTONE,SANDSTONE,784983.8,6925929,50,,-9999,-9999,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,501000,8800,155000,28000,84000,2500,65000,118000,21700,1100,600,13000,0.01,67,286,127,153,5,77,305,22,92,50,DOLERITE
1272,1653,SANDSTONE,SANDSTONE,735252.4,6899279,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,520000,6300,139000,25000,68000,1900,76000,85000,41800,2700,1300,31000,0.01,65,296,100,103,19,193,249,20,55,30,BASALT
1273,1654,SANDSTONE,SANDSTONE,737404.7,6897543,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,540000,9900,119000,36000,76000,2200,58000,107000,2700,5800,1500,43000,4000,74,481,80,320,22,380,230,18,70,95,BASALT
1274,1655,SANDSTONE,SANDSTONE,712386.7,6890591,50,,-9999,-9999,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,516000,8300,141000,24000,80000,1600,78000,103000,16500,1100,2600,27000,0.01,65,124,88,96,3,97,303,80,78,47,DOLERITE
1275,1656,SANDSTONE,SANDSTONE,712386.7,6890591,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,509000,9200,139000,23000,93000,2000,64000,103000,22600,1200,1500,22000,2000,61,177,90,132,3,146,302,24,70,50,BASALT
1398,1690,SOUTHERN CROSS,SOUTHERN CROSS,716660.9,6531019,50,,-9999,-9999,CTS,chlorite tremolite schist,High-Mg Basalt,JAH,JA Hallberg,CSIR,460000,5100,92000,23000,87000,2100,179000,101000,12100,700,400,29000,0.01,108,2513,10,620,5,134,203,22,55,27,HIGH MG BASA-T
1423,603,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374201.3,6520093,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,UWA,540000,6300,129000,15000,85000,1900,79000,109000,19900,1500,1100,11000,0.01,48,375,62,87,5,122,221,20,90,73,BASALT
1425,605,WIDGIEMOOLTHA,WIDGIEMOOLTHA,374201.3,6520093,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,UWA,519000,6900,145000,14000,71000,1600,78000,98000,36300,1100,700,19000,0.01,44,400,48,78,3,158,287,21,59,83,BASALT
1446,626,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,UWA,501000,13800,133000,30000,87000,1800,74000,106000,30300,1500,2300,12000,0.01,54,525,74,133,3,108,351,27,117,86,BASALT
1447,627,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,UWA,547000,13100,129000,13000,82000,1500,69000,91000,34500,500,1900,10000,1000,60,500,84,156,7,146,351,23,88,88,BASALT
1448,628,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,UWA,520000,13200,137000,18000,98000,1500,79000,98000,35800,900,1900,8000,0.01,65,420,92,134,5,174,347,25,111,94,BASALT
1449,629,WIDGIEMOOLTHA,WIDGIEMOOLTHA,371934.5,6498385,51,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,UWA,475000,13700,119000,29000,114000,2200,97000,121000,14300,1700,2400,11000,0.01,77,529,62,149,9,60,352,27,151,73,BASALT
1817,1180,YOUANMI,YOUANMI,688967,6838241,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,513000,6400,147000,33000,40000,1300,75000,139000,20200,5500,100,16000,0.01,34,132,10,89,15,111,280,22,35,42,BASALT
1818,1181,YOUANMI,YOUANMI,689700.2,6838199,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,513000,8200,147000,36000,62000,1200,71000,95000,34400,5200,200,23000,0.01,58,12,10,162,7,92,268,25,55,64,BASALT
1821,1657,YOUANMI,YOUANMI,692035.3,6861377,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,509000,4900,145000,17000,90000,2000,82000,113000,17900,1800,1300,17000,0.01,59,353,35,140,9,50,258,9,80,22,BASALT
